dataset,n_nodes,topology,primary_seed,qe_primary_seed,qe_mean_across_seeds,qe_std_across_seeds,te_primary_seed,te_mean_across_seeds,mean_pairwise_seed_ARI,min_pairwise_seed_ARI,silhouette_pca20,davies_bouldin_pca20,calinski_harabasz_pca20,max_centroid_correlation,min_centroid_rmse,n_empty_nodes,min_cluster_size,min_cluster_fraction,max_cluster_size,max_cluster_fraction,qe_relative_improvement_from_previous,qe_relative_improvement_to_next,WCSS_full_1201d,relative_WCSS_improvement_from_previous,in_SI_candidate_range_4_to_6,passes_all_SI_style_rules,selected_n,selection_reason
main_high_quality_min10,2,1x2,42,2.2895632513648607,2.2895632513648607,0.0,0.0,0.0,1.0,1.0,0.6860480332334896,0.5815780134181284,2579.881416823508,0.9899918711190976,0.288376681752664,0,223,0.1546463245492371,1219,0.8453536754507628,,0.2918223175287018,11159.23940680044,,False,False,False,
main_high_quality_min10,3,1x3,42,1.6214176014140709,1.6214175972230174,8.382106475579576e-09,0.0,0.0267683772538141,1.0,1.0,0.5828932314343862,0.6557732881269364,2803.2621155301363,0.9936463458455298,0.1520695930074781,0,120,0.0832177531206657,947,0.6567267683772539,0.2918223175287018,0.1516529303417733,6360.781929374396,0.4299986139289981,False,False,False,
main_high_quality_min10,4,2x2,42,1.3755248749948543,1.3755248672964295,9.428606438277189e-09,0.0,0.0,1.0,1.0,0.5435883279876065,0.7338687688403153,2822.0366423262294,0.9989000177274804,0.1211519461571545,0,59,0.0409153952843273,831,0.5762829403606102,0.1516529303417734,0.144339395967833,4525.515737778082,0.2885283935173074,True,True,True,"smallest n in the SI-supported 4-6 range with no empty node, no <1% cluster, acceptable multi-seed stability, and no centroid pair having both correlation >=0.995 and RMSE <0.10"
main_high_quality_min10,5,1x5,42,1.17698243875626,1.1769824388121293,6.842570427478624e-11,0.3876560332871012,0.6095700416088766,1.0,1.0,0.4672119738001247,0.7767076094550961,2648.479237350097,0.9993262104149832,0.0740394398699216,0,49,0.0339805825242718,638,0.4424410540915395,0.1443393959678329,0.0759998218970161,3710.871635527645,0.1800113289740558,True,False,False,
main_high_quality_min10,6,2x3,42,1.0875319879675378,1.0875319830864918,7.316985160541049e-09,0.0,0.0,1.0,1.0,0.4545839216562224,0.8452748191816735,2582.7883040207694,0.9983700203887208,0.0679157454732872,0,26,0.0180305131761442,607,0.4209431345353675,0.0759998218970161,0.079568467239129,3109.4636439665187,0.1620665036761943,True,False,False,
main_high_quality_min10,7,1x7,42,1.0009987304808332,1.0009987301187693,2.0720016942116916e-09,0.4070735090152566,0.4717059639389737,1.0,1.0,0.4062964280126288,0.8914840241559655,2401.079333360064,0.9992419799624548,0.0524728572230229,0,22,0.015256588072122,500,0.3467406380027739,0.079568467239129,0.0249455352616993,2785.662764829328,0.1041339974389092,False,False,False,
main_high_quality_min10,8,2x4,42,0.9751517525950228,0.9760282809996752,0.0004382642023262,0.0,0.0327323162274618,0.9992539494197642,0.9981348735494102,0.4104847122935682,0.9213921180409336,2334.6439874437997,0.9996585085173356,0.0524731154130672,0,22,0.015256588072122,500,0.3467406380027739,0.0249455352616994,0.0702024410933157,2519.7692324291606,0.0954507256790855,False,False,False,
main_high_quality_min10,9,3x3,42,0.9075087139139374,0.9075087130973852,1.633104496079343e-09,0.1712898751733703,0.1631067961165048,1.0,1.0,0.3670626739882676,0.9378844364133128,2196.503462208346,0.9999403428507474,0.038650581079419,0,22,0.015256588072122,402,0.2787794729542302,0.0702024410933157,0.0337061183454286,2308.513291329734,0.0838394002040288,False,False,False,
main_high_quality_min10,10,2x5,42,0.865760106935643,0.8769201170142171,0.0168111311571609,0.0,0.0249653259361997,0.8058580096955799,0.5764608005915131,0.3608330246620249,0.9379216740319888,2149.7329302276617,0.999748430494892,0.0357668378763556,0,17,0.0117891816920943,382,0.2649098474341192,0.0337061183454285,,2084.336879725296,0.0971085643935406,False,False,False,
