sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count
S0005,0.9058614564831278,-0.7282415630550635,0.9058614564831278,-0.7282415630550635,0.0,1.0,-1.6341030195381911,1.9182948490230922,-0.0458072356735532,0.23529411764705882,0.6470588235294118,0.6749555950266412,-9.449378330373033,0.6749555950266397,-2.024866785079917,3.0,1.6341030195381911,0.0,0.07104795737122524,0.04347826086956493,,-9.449378330373033,-2.969804618117238,-1.0447942772330232,,0.0,0.0,,0.2105263157894737,-3.8160950949583343,-4.218472468916527,0.9058614564831278,0.01776198934280631,-0.8880994671403215,-0.5434782608695654,0.1320844204533151,3.0,0.2631578947368421,-0.019284445572189713,0.0,0.05328596802841892,0.05328596802841892,0.0,0.0,0.000595922279115267,6.0,0.42105263157894735,-1.3499111900532874,-1.349911190053283,0.01776198934280631,-0.7282415630550635,-0.7460035523978698,-0.4565217391304347,0.04078756932611214,9.0,,,,,,,,,
S0006,0.664819944598336,-0.38781163434903015,0.664819944598336,-0.38781163434903015,0.0,0.8947368421052634,-1.0526315789473661,1.0526315789473661,0.03353258492491613,0.0,0.7368421052631579,0.0,-3.1578947368420844,0.0,-1.0526315789473655,2.0,1.0526315789473661,0.0,0.0,0.0,,-1.0526315789473615,-0.6315789473684186,-1.0667535712345868,0.0,0.0,0.0,,0.26315789473684215,-1.9548872180451025,-2.105263157894724,0.664819944598336,0.16620498614958543,-0.4986149584487506,-0.4736842105263141,0.03214285409787255,6.0,0.6842105263157894,-0.7611336032388659,-0.7518796992481211,0.11080332409972236,-0.38781163434903015,-0.49861495844875253,-0.47368421052631593,0.02707600024993227,14.0,,,,,,,,,,,,,,,,,,
S0007,0.30769230769230804,-0.7601809954751133,0.416289592760181,-0.7601809954751133,0.13333333333333325,1.0,-1.0678733031674215,1.2850678733031673,-0.047662141779789086,0.13333333333333333,0.8666666666666667,1.0859728506787383,-2.4434389140271477,0.814479638009048,-1.3574660633484144,2.0,1.1764705882352944,0.0,0.10859728506787297,0.09230769230769201,0.8144796380090478,-1.0859728506787365,-1.6832579185520369,-1.1618312483364388,,2.171945701357464,1.0,,0.13333333333333325,0.8144796380090478,0.8144796380090478,0.30769230769230804,0.416289592760181,0.10859728506787297,0.09230769230769201,0.0020383603029330917,3.0,0.8,-1.3589577842971508,-1.3574660633484164,0.3438914027149319,-0.7601809954751133,-1.1040723981900453,-0.9384615384615383,0.11559596415321353,13.0,,,,,,,,,,,,,,,,,,
S0008,-1.600000000000008,-0.300000000000004,0.29999999999999694,-1.600000000000008,0.33333333333333326,0.0,1.300000000000004,2.7000000000000006,-0.04333333333333629,0.26666666666666666,0.4,22.50000000000009,-3.0000000000000293,2.999999999999994,-1.4999999999999956,2.0,0.6999999999999984,1.900000000000005,1.900000000000005,1.0,4.457142857142869,0.0,0.14999999999999616,,0.00882352941176568,14.43750000000004,1.0,,0.13333333333333333,13.500000000000037,13.500000000000039,-1.600000000000008,0.19999999999999718,1.8000000000000052,0.9473684210526317,0.620000000000004,3.0,0.8,-0.9230769230769241,-0.937500000000002,0.19999999999999718,-0.300000000000004,-0.5000000000000011,-0.263157894736842,0.06378698224852083,13.0,,,,,,,,,,,,,,,,,,
S0013,0.9090909090909031,-0.3030303030303054,0.9090909090909031,-0.3030303030303054,0.0,0.7142857142857141,-1.2121212121212084,1.2121212121212084,0.08658008658008674,0.0,0.2857142857142857,0.0,-4.242424242424291,0.0,-4.242424242424278,2.0,1.2121212121212084,0.0,0.0,0.0,,-4.242424242424089,0.0,-1.2727272727272745,0.0,0.0,0.0,,0.1428571428571429,-4.242424242424182,-4.242424242424182,0.9090909090909031,0.3030303030303054,-0.6060606060605976,-0.4999999999999946,0.06121824303642315,3.0,0.7857142857142857,-0.9938546302182745,-0.9427609427609503,0.3030303030303054,-0.3030303030303054,-0.6060606060606109,-0.5000000000000056,0.06823283338434961,12.0,,,,,,,,,,,,,,,,,,
S0014,0.7920792079207915,-0.34653465346534584,0.7920792079207915,-0.34653465346534584,0.0,1.0,-1.1386138613861374,1.138613861386137,0.08663366336633727,0.0,0.9285714285714286,0.0,-2.07920792079208,0.0,-1.3861386138613832,2.0,1.1386138613861374,0.0,0.0,0.0,,-2.0792079207920646,-0.6930693069306915,-1.0618811881188117,,0.0,0.0,,0.2142857142857143,-2.07920792079207,-2.0792079207920704,0.7920792079207915,0.346534653465348,-0.44554455445544344,-0.39130434782608553,0.027570826389569415,4.0,0.7142857142857142,-0.800180018001801,-0.7797029702970301,0.24752475247524827,-0.34653465346534584,-0.5940594059405941,-0.5217391304347833,0.03313562679400262,11.0,,,,,,,,,,,,,,,,,,
S0015,1.2000000000000004,-0.10000000000000017,1.2000000000000004,-0.10000000000000017,0.0,1.0,-1.3000000000000005,1.3400000000000007,0.18599999999999997,0.04,0.72,0.5000000000000022,-6.000000000000015,0.5000000000000022,-1.0000000000000044,3.0,1.3000000000000005,0.0,0.020000000000000108,0.015384615384615462,,-6.000000000000015,-0.08571428571428617,-1.070769230769231,,0.0,0.0,,0.08,-5.0,-5.0,1.2000000000000004,0.8000000000000004,-0.4,-0.3076923076923076,0.027022222222222236,3.0,0.16000000000000003,-2.8,-2.999999999999997,0.72,0.2800000000000001,-0.4399999999999999,-0.33846153846153826,0.025216,5.0,0.6799999999999999,-0.34055727554179566,-0.27272727272727254,0.17999999999999988,-0.10000000000000017,-0.28,-0.2153846153846153,0.006528395061728395,18.0,,,,,,,,,
S0016,0.43478260869565366,-0.2608695652173947,0.7826086956521716,-0.43478260869565366,0.56,0.92,-0.6956521739130483,3.130434782608699,0.05217391304347609,0.28,0.36,4.347826086956792,-8.695652173913183,4.347826086956471,-4.347826086956548,3.0,1.2173913043478253,0.17391304347825898,1.0434782608695663,0.8571428571428586,1.3198757763975135,-4.347826086956482,-0.496894409937883,-0.026465028355388342,2.1739130434782394,11.304347826086996,2.0,0.4800000000000001,0.08,-8.695652173913103,-8.695652173913103,0.43478260869565366,-0.2608695652173947,-0.6956521739130483,-0.5714285714285758,0.08065532451165834,3.0,0.4400000000000001,2.5235633931286165,2.6086956521738918,-0.2608695652173947,0.7826086956521716,1.0434782608695663,0.8571428571428586,0.12770426381012442,12.0,0.4,-2.4505928853754972,-2.6086956521739304,0.6086956521739126,-0.2608695652173947,-0.8695652173913073,-0.7142857142857172,0.1144839007014642,11.0,,,,,,,,,
S0017,0.5000000000000111,-0.74999999999999,0.5000000000000111,-0.74999999999999,0.0,1.0,-1.250000000000001,1.250000000000001,0.02500000000000667,0.0,0.2,0.0,-6.250000000000364,0.0,-6.250000000000022,3.0,1.250000000000001,0.0,0.0,0.0,,0.0,-3.2142857142856873,-0.9401709401709467,,0.0,0.0,,0.32,-0.9374999999999873,-0.3906249999999948,0.5000000000000111,0.25000000000001443,-0.24999999999999667,-0.19999999999999715,0.013888888888888519,9.0,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.20000000000000018,-3.2142857142856873,-3.1250000000000386,0.0,-0.74999999999999,-0.74999999999999,-0.5999999999999914,0.05555555555555445,6.0,,,,,,,,,
S0020,0.8118081180811801,-0.27675276752767497,0.8118081180811801,-0.27675276752767497,0.0,1.0,-1.0885608856088551,1.0885608856088551,0.07783671586715872,0.0,1.0,0.0,-4.132841328413296,0.0,-0.7380073800738018,2.0,1.0885608856088551,0.0,0.0,0.0,,-1.1808118081180685,-0.47232472324723124,-0.9789450835684822,,0.0,0.0,,0.18749999999999992,-2.804428044280442,-2.656826568265681,0.8118081180811801,0.31365313653136523,-0.4981549815498149,-0.4576271186440677,0.03989171579907677,4.0,0.75,-0.632577754348972,-0.5904059040590413,0.2214022140221404,-0.27675276752767497,-0.49815498154981536,-0.4576271186440681,0.02234213044984223,13.0,,,,,,,,,,,,,,,,,,
