curve_id,sample_id,source_absolute_path,source_relative_path,doi,figure_folder,series_id,n_raw_points,n_unique_points_total,n_unique_points_0_200h,n_duplicate_points,duration_h,endpoint_bracket_time_h,endpoint_uses_point_after_200h,max_pce_0_200h,normalized_pce_0h,normalized_pce_200h,array_row,raw_cluster_id,som_node_x,som_node_y,node_label,bmu_distance,pce_norm_0h,pce_norm_10h,pce_norm_50h,pce_norm_100h,pce_norm_150h,pce_norm_200h,peak_time_h,ordered_class_id,suggested_shape_name,class_label,selected_database_absolute_path
x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,10.1002/adfm.202000778|Fig6_D_stability_performance_curve_pce|10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,10.1002/adfm.202000778,Fig6_D_stability_performance_curve_pce,Series_2,48,48,26,0,372.82933753035616,206.2460165061545,True,1.0044468535310689,0.9975444874385844,0.3288666575888944,19,1,0,1,node_0_1,3.5797937943894707,0.9975444874385844,0.9998306572709578,0.9723245582597156,0.8164143116600215,0.6002920565117705,0.3288666575888944,21.166666666666664,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv
x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/accepted/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv,10.1002/cnma.201800064|Fig6_B_stability_performance_curve|10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/accepted/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv,x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/accepted/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv,10.1002/cnma.201800064,Fig6_B_stability_performance_curve,Series_1,77,77,32,0,470.27845457731814,201.54790910456492,True,0.9869849678618438,1.0,0.4634751701495711,68,1,0,1,node_0_1,0.944528503900812,1.0,0.9752782454724006,0.8761491279176118,0.7259110531282849,0.5820287747829308,0.4634751701495711,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/accepted/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv
x_time_day/10.1002_solr.201800034/Fig10_B_stability_performance_curve_pce/accepted/10.1002_solr.201800034__Fig10__B__stability_performance_curve_pce__TU-0__Series_2.csv,10.1002/solr.201800034|Fig10_B_stability_performance_curve_pce|10.1002_solr.201800034__Fig10__B__stability_performance_curve_pce__TU-0__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_solr.201800034/Fig10_B_stability_performance_curve_pce/accepted/10.1002_solr.201800034__Fig10__B__stability_performance_curve_pce__TU-0__Series_2.csv,x_time_day/10.1002_solr.201800034/Fig10_B_stability_performance_curve_pce/accepted/10.1002_solr.201800034__Fig10__B__stability_performance_curve_pce__TU-0__Series_2.csv,10.1002/solr.201800034,Fig10_B_stability_performance_curve_pce,Series_2,34,34,19,0,354.2835052485249,203.9814121127871,True,106.1501089147764,1.0,0.366316109679167,107,1,0,1,node_0_1,1.6743162025064793,1.0,0.958465129176946,0.8068951269534494,0.6754269151685344,0.5004983867781072,0.366316109679167,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1002_solr.201800034/Fig10_B_stability_performance_curve_pce/accepted/10.1002_solr.201800034__Fig10__B__stability_performance_curve_pce__TU-0__Series_2.csv
x_time_day/10.1002_solr.201800205/Fig3_A_stability_performance_curve_pce/accepted/10.1002_solr.201800205__Fig3__A__stability_performance_curve_pce__FTO__Series_2.csv,10.1002/solr.201800205|Fig3_A_stability_performance_curve_pce|10.1002_solr.201800205__Fig3__A__stability_performance_curve_pce__FTO__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_solr.201800205/Fig3_A_stability_performance_curve_pce/accepted/10.1002_solr.201800205__Fig3__A__stability_performance_curve_pce__FTO__Series_2.csv,x_time_day/10.1002_solr.201800205/Fig3_A_stability_performance_curve_pce/accepted/10.1002_solr.201800205__Fig3__A__stability_performance_curve_pce__FTO__Series_2.csv,10.1002/solr.201800205,Fig3_A_stability_performance_curve_pce,Series_2,21,21,15,0,282.69563732364185,212.02172799273131,True,0.9885700506639452,1.0,0.3052572205461472,110,1,0,1,node_0_1,2.900522032830295,1.0,0.9750537601710088,0.8539486095758413,0.6527275631503153,0.434672050948952,0.3052572205461472,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1002_solr.201800205/Fig3_A_stability_performance_curve_pce/accepted/10.1002_solr.201800205__Fig3__A__stability_performance_curve_pce__FTO__Series_2.csv
x_time_day/10.1002_solr.201800352/Fig5_A_stability_performance_curve_pce/accepted/10.1002_solr.201800352__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD_(doped)__Series_1.csv,10.1002/solr.201800352|Fig5_A_stability_performance_curve_pce|10.1002_solr.201800352__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD_(doped)__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_solr.201800352/Fig5_A_stability_performance_curve_pce/accepted/10.1002_solr.201800352__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD_(doped)__Series_1.csv,x_time_day/10.1002_solr.201800352/Fig5_A_stability_performance_curve_pce/accepted/10.1002_solr.201800352__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD_(doped)__Series_1.csv,10.1002/solr.201800352,Fig5_A_stability_performance_curve_pce,Series_1,46,46,19,0,475.6146518007887,200.8150752047775,True,0.9964655548377052,1.0,0.5780439676574574,117,1,0,1,node_0_1,2.3216673466006883,1.0,0.9780890009867752,0.830624159087505,0.7377682066834135,0.6574010098334196,0.5780439676574574,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1002_solr.201800352/Fig5_A_stability_performance_curve_pce/accepted/10.1002_solr.201800352__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD_(doped)__Series_1.csv
x_time_day/10.1002_solr.202000490/Fig2_F_stability_performance_curve_pce/accepted/10.1002_solr.202000490__Fig2__F__stability_performance_curve_pce__Pristine__Series_1.csv,10.1002/solr.202000490|Fig2_F_stability_performance_curve_pce|10.1002_solr.202000490__Fig2__F__stability_performance_curve_pce__Pristine__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_solr.202000490/Fig2_F_stability_performance_curve_pce/accepted/10.1002_solr.202000490__Fig2__F__stability_performance_curve_pce__Pristine__Series_1.csv,x_time_day/10.1002_solr.202000490/Fig2_F_stability_performance_curve_pce/accepted/10.1002_solr.202000490__Fig2__F__stability_performance_curve_pce__Pristine__Series_1.csv,10.1002/solr.202000490,Fig2_F_stability_performance_curve_pce,Series_1,55,55,46,0,238.5461978501591,203.2060203908763,True,1.0032766466020149,1.0,0.3565827602281565,127,1,0,1,node_0_1,2.063166590044626,1.0,0.977464341570737,0.8657967741511423,0.6224945059399303,0.4994143139470394,0.3565827602281565,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1002_solr.202000490/Fig2_F_stability_performance_curve_pce/accepted/10.1002_solr.202000490__Fig2__F__stability_performance_curve_pce__Pristine__Series_1.csv
x_time_day/10.1007_s10854-021-06778-6/Fig4_A_stability_performance_curve_pce/accepted/10.1007_s10854-021-06778-6__Fig4__A__stability_performance_curve_pce__WithoutPCBM__Series_1.csv,10.1007/s10854-021-06778-6|Fig4_A_stability_performance_curve_pce|10.1007_s10854-021-06778-6__Fig4__A__stability_performance_curve_pce__WithoutPCBM__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1007_s10854-021-06778-6/Fig4_A_stability_performance_curve_pce/accepted/10.1007_s10854-021-06778-6__Fig4__A__stability_performance_curve_pce__WithoutPCBM__Series_1.csv,x_time_day/10.1007_s10854-021-06778-6/Fig4_A_stability_performance_curve_pce/accepted/10.1007_s10854-021-06778-6__Fig4__A__stability_performance_curve_pce__WithoutPCBM__Series_1.csv,10.1007/s10854-021-06778-6,Fig4_A_stability_performance_curve_pce,Series_1,70,70,49,0,285.8850273015727,203.019801996769,True,1.0013275150536112,1.0,0.5034628407004669,143,1,0,1,node_0_1,1.0234269384377774,1.0,0.9722963983575356,0.8515998605251374,0.716123037964436,0.6019024406186353,0.5034628407004669,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1007_s10854-021-06778-6/Fig4_A_stability_performance_curve_pce/accepted/10.1007_s10854-021-06778-6__Fig4__A__stability_performance_curve_pce__WithoutPCBM__Series_1.csv
x_time_day/10.1007_s11664-018-6614-x/Fig5_D_stability_performance_curve_pce/accepted/10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__SampleB__Series_4.csv,10.1007/s11664-018-6614-x|Fig5_D_stability_performance_curve_pce|10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__SampleB__Series_4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1007_s11664-018-6614-x/Fig5_D_stability_performance_curve_pce/accepted/10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__SampleB__Series_4.csv,x_time_day/10.1007_s11664-018-6614-x/Fig5_D_stability_performance_curve_pce/accepted/10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__SampleB__Series_4.csv,10.1007/s11664-018-6614-x,Fig5_D_stability_performance_curve_pce,Series_4,72,70,28,2,499.59271441039857,202.73327541291536,True,1.0207726927232708,1.0,0.5988173868427141,149,1,0,1,node_0_1,2.441860515394304,1.0,0.9502666259948856,0.7587564419856667,0.7008596571889418,0.6401981444062028,0.5988173868427141,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1007_s11664-018-6614-x/Fig5_D_stability_performance_curve_pce/accepted/10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__SampleB__Series_4.csv
x_time_day/10.1007_s11664-018-6614-x/Fig5_D_stability_performance_curve_pce/accepted/10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__Sample_A__Series_3.csv,10.1007/s11664-018-6614-x|Fig5_D_stability_performance_curve_pce|10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__Sample_A__Series_3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1007_s11664-018-6614-x/Fig5_D_stability_performance_curve_pce/accepted/10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__Sample_A__Series_3.csv,x_time_day/10.1007_s11664-018-6614-x/Fig5_D_stability_performance_curve_pce/accepted/10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__Sample_A__Series_3.csv,10.1007/s11664-018-6614-x,Fig5_D_stability_performance_curve_pce,Series_3,68,68,28,0,485.1117661666189,202.73327541291536,True,0.9164656593228114,1.0,0.6091313278946062,150,1,0,1,node_0_1,2.7841795631324744,1.0,0.91241137052971,0.7965216874182661,0.7224937484307576,0.6715835068542112,0.6091313278946062,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1007_s11664-018-6614-x/Fig5_D_stability_performance_curve_pce/accepted/10.1007_s11664-018-6614-x__Fig5__D__stability_performance_curve_pce__Sample_A__Series_3.csv
x_time_day/10.1007_s40843-019-1287-3/Fig4_D_stability_performance_curve_pce/accepted/10.1007_s40843-019-1287-3__Fig4__D__stability_performance_curve_pce__w_o_KF__Series_2.csv,10.1007/s40843-019-1287-3|Fig4_D_stability_performance_curve_pce|10.1007_s40843-019-1287-3__Fig4__D__stability_performance_curve_pce__w_o_KF__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1007_s40843-019-1287-3/Fig4_D_stability_performance_curve_pce/accepted/10.1007_s40843-019-1287-3__Fig4__D__stability_performance_curve_pce__w_o_KF__Series_2.csv,x_time_day/10.1007_s40843-019-1287-3/Fig4_D_stability_performance_curve_pce/accepted/10.1007_s40843-019-1287-3__Fig4__D__stability_performance_curve_pce__w_o_KF__Series_2.csv,10.1007/s40843-019-1287-3,Fig4_D_stability_performance_curve_pce,Series_2,60,60,45,0,263.04734470759195,200.62933070918032,True,0.9988141849061588,1.0,0.3678217899598323,154,1,0,1,node_0_1,1.1016205856722077,1.0,0.976419642598507,0.8583789951446885,0.6963006178828678,0.5344554739178118,0.3678217899598323,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1007_s40843-019-1287-3/Fig4_D_stability_performance_curve_pce/accepted/10.1007_s40843-019-1287-3__Fig4__D__stability_performance_curve_pce__w_o_KF__Series_2.csv
x_time_day/10.1016_j.cclet.2020.02.004/Fig4_D_charge_density/accepted/10.1016_j.cclet.2020.02.004__Fig4__D__charge_density__PHJ_PSCs__Series_2.csv,10.1016/j.cclet.2020.02.004|Fig4_D_charge_density|10.1016_j.cclet.2020.02.004__Fig4__D__charge_density__PHJ_PSCs__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.cclet.2020.02.004/Fig4_D_charge_density/accepted/10.1016_j.cclet.2020.02.004__Fig4__D__charge_density__PHJ_PSCs__Series_2.csv,x_time_day/10.1016_j.cclet.2020.02.004/Fig4_D_charge_density/accepted/10.1016_j.cclet.2020.02.004__Fig4__D__charge_density__PHJ_PSCs__Series_2.csv,10.1016/j.cclet.2020.02.004,Fig4_D_charge_density,Series_2,50,50,41,0,239.14437122488533,200.10039224939385,True,1.0006066959520117,0.9998132918164304,0.4127458310512704,166,1,0,1,node_0_1,1.9334226962678331,0.9998132918164304,0.991074338582051,0.9433976543715252,0.7286888669901715,0.5837861214275101,0.4127458310512704,1.6666666666666663,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1016_j.cclet.2020.02.004/Fig4_D_charge_density/accepted/10.1016_j.cclet.2020.02.004__Fig4__D__charge_density__PHJ_PSCs__Series_2.csv
x_time_day/10.1016_j.cej.2021.129482/Fig5_E_pce/accepted/10.1016_j.cej.2021.129482__Fig5__E__pce__Control__Series_2.csv,10.1016/j.cej.2021.129482|Fig5_E_pce|10.1016_j.cej.2021.129482__Fig5__E__pce__Control__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.cej.2021.129482/Fig5_E_pce/accepted/10.1016_j.cej.2021.129482__Fig5__E__pce__Control__Series_2.csv,x_time_day/10.1016_j.cej.2021.129482/Fig5_E_pce/accepted/10.1016_j.cej.2021.129482__Fig5__E__pce__Control__Series_2.csv,10.1016/j.cej.2021.129482,Fig5_E_pce,Series_2,11,11,5,0,435.41821040153377,217.70910520076688,True,0.9653809751597088,1.0,0.5239949655536625,175,1,0,1,node_0_1,1.6236994635700817,1.0,0.9653135377560405,0.8481370560310564,0.7358057321825956,0.6305696091148518,0.5239949655536625,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1016_j.cej.2021.129482/Fig5_E_pce/accepted/10.1016_j.cej.2021.129482__Fig5__E__pce__Control__Series_2.csv
x_time_day/10.1016_j.electacta.2017.03.192/Fig6_E_eqe_plot_stability_performance_curve/accepted/10.1016_j.electacta.2017.03.192__Fig6__E__eqe_plot_stability_performance_curve__P-Pscs__Series_3.csv,10.1016/j.electacta.2017.03.192|Fig6_E_eqe_plot_stability_performance_curve|10.1016_j.electacta.2017.03.192__Fig6__E__eqe_plot_stability_performance_curve__P-Pscs__Series_3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.electacta.2017.03.192/Fig6_E_eqe_plot_stability_performance_curve/accepted/10.1016_j.electacta.2017.03.192__Fig6__E__eqe_plot_stability_performance_curve__P-Pscs__Series_3.csv,x_time_day/10.1016_j.electacta.2017.03.192/Fig6_E_eqe_plot_stability_performance_curve/accepted/10.1016_j.electacta.2017.03.192__Fig6__E__eqe_plot_stability_performance_curve__P-Pscs__Series_3.csv,10.1016/j.electacta.2017.03.192,Fig6_E_eqe_plot_stability_performance_curve,Series_3,13,13,12,0,202.2595827775308,202.2595827775308,True,1.0096015618489165,1.0,0.2936602732280814,199,1,0,1,node_0_1,2.6353610103777494,1.0,0.9972211279935516,0.9255565597014213,0.7734368208521271,0.5563132451891487,0.2936602732280814,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1016_j.electacta.2017.03.192/Fig6_E_eqe_plot_stability_performance_curve/accepted/10.1016_j.electacta.2017.03.192__Fig6__E__eqe_plot_stability_performance_curve__P-Pscs__Series_3.csv
x_time_day/10.1016_j.electacta.2017.07.040/Fig8_whole_stability_performance_curve_pce/accepted/10.1016_j.electacta.2017.07.040__Fig8__whole__stability_performance_curve_pce__FAPbI_3__Series_2.csv,10.1016/j.electacta.2017.07.040|Fig8_whole_stability_performance_curve_pce|10.1016_j.electacta.2017.07.040__Fig8__whole__stability_performance_curve_pce__FAPbI_3__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.electacta.2017.07.040/Fig8_whole_stability_performance_curve_pce/accepted/10.1016_j.electacta.2017.07.040__Fig8__whole__stability_performance_curve_pce__FAPbI_3__Series_2.csv,x_time_day/10.1016_j.electacta.2017.07.040/Fig8_whole_stability_performance_curve_pce/accepted/10.1016_j.electacta.2017.07.040__Fig8__whole__stability_performance_curve_pce__FAPbI_3__Series_2.csv,10.1016/j.electacta.2017.07.040,Fig8_whole_stability_performance_curve_pce,Series_2,59,59,33,0,360.50226732184547,205.11335899346383,True,0.9954543502174508,1.0,0.4920419934469826,201,1,0,1,node_0_1,1.927647868794584,1.0,0.9789126655488318,0.8613061938530064,0.7623791418031486,0.6460177099319366,0.4920419934469826,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1016_j.electacta.2017.07.040/Fig8_whole_stability_performance_curve_pce/accepted/10.1016_j.electacta.2017.07.040__Fig8__whole__stability_performance_curve_pce__FAPbI_3__Series_2.csv
x_time_day/10.1016_j.jallcom.2019.06.089/Fig6_B_stability_performance_curve_pce/accepted/10.1016_j.jallcom.2019.06.089__Fig6__B__stability_performance_curve_pce__PCBM__Series_1.csv,10.1016/j.jallcom.2019.06.089|Fig6_B_stability_performance_curve_pce|10.1016_j.jallcom.2019.06.089__Fig6__B__stability_performance_curve_pce__PCBM__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jallcom.2019.06.089/Fig6_B_stability_performance_curve_pce/accepted/10.1016_j.jallcom.2019.06.089__Fig6__B__stability_performance_curve_pce__PCBM__Series_1.csv,x_time_day/10.1016_j.jallcom.2019.06.089/Fig6_B_stability_performance_curve_pce/accepted/10.1016_j.jallcom.2019.06.089__Fig6__B__stability_performance_curve_pce__PCBM__Series_1.csv,10.1016/j.jallcom.2019.06.089,Fig6_B_stability_performance_curve_pce,Series_1,69,69,29,0,473.4310286608097,201.9044092818159,True,0.9872832936756634,1.0,0.503290429779427,207,1,0,1,node_0_1,1.868513421240312,1.0,0.9316677381388522,0.7632981067294023,0.6354528802957505,0.5528417385682617,0.503290429779427,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1016_j.jallcom.2019.06.089/Fig6_B_stability_performance_curve_pce/accepted/10.1016_j.jallcom.2019.06.089__Fig6__B__stability_performance_curve_pce__PCBM__Series_1.csv
x_time_day/10.1016_j.mssp.2019.03.028/Fig5_F_stability_performance_curve_eqe/accepted/10.1016_j.mssp.2019.03.028__Fig5__F__stability_performance_curve_eqe__MAPbl3__Series_2.csv,10.1016/j.mssp.2019.03.028|Fig5_F_stability_performance_curve_eqe|10.1016_j.mssp.2019.03.028__Fig5__F__stability_performance_curve_eqe__MAPbl3__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.mssp.2019.03.028/Fig5_F_stability_performance_curve_eqe/accepted/10.1016_j.mssp.2019.03.028__Fig5__F__stability_performance_curve_eqe__MAPbl3__Series_2.csv,x_time_day/10.1016_j.mssp.2019.03.028/Fig5_F_stability_performance_curve_eqe/accepted/10.1016_j.mssp.2019.03.028__Fig5__F__stability_performance_curve_eqe__MAPbl3__Series_2.csv,10.1016/j.mssp.2019.03.028,Fig5_F_stability_performance_curve_eqe,Series_2,49,49,20,0,498.89472018044626,207.87280007518592,True,10.44518082772056,1.0,0.6409345581433024,249,1,0,1,node_0_1,2.953383404582195,1.0,0.9654200439070826,0.8088541409333916,0.7065370015474997,0.6732226117645906,0.6409345581433024,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1016_j.mssp.2019.03.028/Fig5_F_stability_performance_curve_eqe/accepted/10.1016_j.mssp.2019.03.028__Fig5__F__stability_performance_curve_eqe__MAPbl3__Series_2.csv
x_time_day/10.1016_j.mssp.2021.105941/Fig9_whole_figure/accepted/10.1016_j.mssp.2021.105941__Fig9__whole__figure__Pure__Series_4.csv,10.1016/j.mssp.2021.105941|Fig9_whole_figure|10.1016_j.mssp.2021.105941__Fig9__whole__figure__Pure__Series_4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.mssp.2021.105941/Fig9_whole_figure/accepted/10.1016_j.mssp.2021.105941__Fig9__whole__figure__Pure__Series_4.csv,x_time_day/10.1016_j.mssp.2021.105941/Fig9_whole_figure/accepted/10.1016_j.mssp.2021.105941__Fig9__whole__figure__Pure__Series_4.csv,10.1016/j.mssp.2021.105941,Fig9_whole_figure,Series_4,26,26,24,0,211.96734404789507,203.48865028597925,True,0.9965619428845884,1.0,0.3319410007873482,252,1,0,1,node_0_1,3.153376517560196,1.0,0.9833373209558364,0.912593597843157,0.8172918331143266,0.6708636791038057,0.3319410007873482,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1016_j.mssp.2021.105941/Fig9_whole_figure/accepted/10.1016_j.mssp.2021.105941__Fig9__whole__figure__Pure__Series_4.csv
x_time_day/10.1016_j.orgel.2021.106293/Fig6_C_stability_performance_curve_pce/accepted/10.1016_j.orgel.2021.106293__Fig6__C__stability_performance_curve_pce__TiO₂__Series_1.csv,10.1016/j.orgel.2021.106293|Fig6_C_stability_performance_curve_pce|10.1016_j.orgel.2021.106293__Fig6__C__stability_performance_curve_pce__TiO₂__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2021.106293/Fig6_C_stability_performance_curve_pce/accepted/10.1016_j.orgel.2021.106293__Fig6__C__stability_performance_curve_pce__TiO₂__Series_1.csv,x_time_day/10.1016_j.orgel.2021.106293/Fig6_C_stability_performance_curve_pce/accepted/10.1016_j.orgel.2021.106293__Fig6__C__stability_performance_curve_pce__TiO₂__Series_1.csv,10.1016/j.orgel.2021.106293,Fig6_C_stability_performance_curve_pce,Series_1,53,53,22,0,475.7468095747624,201.27749635855332,True,1.0027867835964823,1.0,0.5543797534903212,307,1,0,1,node_0_1,2.109548967053787,1.0,0.9840197010782032,0.8935008502751683,0.7234337688013673,0.6364532914119111,0.5543797534903212,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1016_j.orgel.2021.106293/Fig6_C_stability_performance_curve_pce/accepted/10.1016_j.orgel.2021.106293__Fig6__C__stability_performance_curve_pce__TiO₂__Series_1.csv
x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/accepted/10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve__MAPI__Series_1.csv,10.1016/j.solener.2018.05.086|Fig7_A_stability_performance_curve|10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve__MAPI__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/accepted/10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve__MAPI__Series_1.csv,x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/accepted/10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve__MAPI__Series_1.csv,10.1016/j.solener.2018.05.086,Fig7_A_stability_performance_curve,Series_1,51,51,20,0,519.074345270856,207.62973810834237,True,2.2130517477296996,1.0,0.320912725881025,315,1,0,1,node_0_1,2.02515172575204,1.0,0.9455487884126677,0.8560922581297328,0.7069308311296033,0.5224991682040478,0.320912725881025,0.0,4,initial_drop_rapid_loss,class_04,/Users/shunhao/Desktop/ML/lab/NEW/som_200h_reanalysis/02_selected_curve_database/paper_aligned_min4/x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/accepted/10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve__MAPI__Series_1.csv
