category,doi_safe,doi,doi_dir,markdown,task_name,task_dir,validation_result,record_id,figure_id,panel_id,x_axis_name,x_axis_unit,y_axis_name,y_axis_unit,original_image,multi_curve_replot,accepted_dir,accepted_csv_count,accepted_image_count,accepted_csv_files,accepted_image_files,series_mapping_count,legend_names
x_time_day,10.1002_adfm.201705545,10.1002/adfm.201705545,x_time_day/10.1002_adfm.201705545,x_time_day/10.1002_adfm.201705545/10.1002_adfm.201705545.md,Fig11_B_stability_performance_curve,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/validation_result.json,10.1002_adfm.201705545__Fig11__B__stability_performance_curve,Fig11,B,Time,(Day),Normalised PCE,,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/Fig11_B_stability_performance_curve.png,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/Fig11_B_stability_performance_curve_replot.png,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted,4,4,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv;x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv;x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv;x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.png;x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.png;x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.png;x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.png,4,PSC-0.1;PSC-0;PSC-0.25;PSC-0.5
x_time_day,10.1002_adfm.201801654,10.1002/adfm.201801654,x_time_day/10.1002_adfm.201801654,x_time_day/10.1002_adfm.201801654/10.1002_adfm.201801654.md,Fig4_F_stability_performance_curve_pce,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/validation_result.json,10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce,Fig4,F,Time,(day),Normalized PCE,,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/Fig4_F_stability_performance_curve_pce.png,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/Fig4_F_stability_performance_curve_pce_replot.png,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted,1,1,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.png,2,Control MAPbl;AVA-5s-MAPbl
x_time_day,10.1002_adfm.201804128,10.1002/adfm.201804128,x_time_day/10.1002_adfm.201804128,x_time_day/10.1002_adfm.201804128/10.1002_adfm.201804128.md,Fig8_C_stability_performance_curve_decay,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/validation_result.json,10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay,Fig8,C,Time,(Day),Normalized,,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/Fig8_C_stability_performance_curve_decay.png,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/Fig8_C_stability_performance_curve_decay_replot.png,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted,4,4,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv;x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv;x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv;x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.png;x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.png;x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.png;x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.png,4,V_oc;PCE;FF;J_sc
x_time_day,10.1002_adfm.201807024,10.1002/adfm.201807024,x_time_day/10.1002_adfm.201807024,x_time_day/10.1002_adfm.201807024/10.1002_adfm.201807024.md,Fig6_D_pce,x_time_day/10.1002_adfm.201807024/Fig6_D_pce,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/validation_result.json,10.1002_adfm.201807024__Fig6__D__pce,Fig6,D,Storage time of the precursor solution,days,Normalized PCE,,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/Fig6_D_pce.png,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/Fig6_D_pce_replot.png,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted,1,1,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.png,2,0 MASCN;0.25 MASCN
x_time_day,10.1002_adfm.201807556,10.1002/adfm.201807556,x_time_day/10.1002_adfm.201807556,x_time_day/10.1002_adfm.201807556/10.1002_adfm.201807556.md,Fig6_A_stability_performance_curve_ff,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/validation_result.json,10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff,Fig6,A,Time,(days),PCE,(%),x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/Fig6_A_stability_performance_curve_ff.png,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/Fig6_A_stability_performance_curve_ff_replot.png,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted,3,3,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv;x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv;x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.png;x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.png;x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.png,3,PTAA-controlled;PEDOT:PSS-controlled;TFB-controlled
x_time_day,10.1002_adfm.201807604,10.1002/adfm.201807604,x_time_day/10.1002_adfm.201807604,x_time_day/10.1002_adfm.201807604/10.1002_adfm.201807604.md,Fig5_A_stability,x_time_day/10.1002_adfm.201807604/Fig5_A_stability,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/validation_result.json,10.1002_adfm.201807604__Fig5__A__stability,Fig5,A,Time,(day),Normalized PCE,,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/Fig5_A_stability.png,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/Fig5_A_stability_replot.png,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted,2,2,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv;x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.png;x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.png,3,AD-SnO₂;TA-SnO2;HT-SnO₂
x_time_day,10.1002_adfm.201807850,10.1002/adfm.201807850,x_time_day/10.1002_adfm.201807850,x_time_day/10.1002_adfm.201807850/10.1002_adfm.201807850.md,Fig7_E_stability_performance_curve,x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve,x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/validation_result.json,10.1002_adfm.201807850__Fig7__E__stability_performance_curve,Fig7,E,Time,Day,Normalized PCE,,x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/Fig7_E_stability_performance_curve.png,x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/Fig7_E_stability_performance_curve_replot.png,x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/accepted,1,1,x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/accepted/10.1002_adfm.201807850__Fig7__E__stability_performance_curve__w_o_NbF₅__Series_1.csv,x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/accepted/10.1002_adfm.201807850__Fig7__E__stability_performance_curve__w_o_NbF₅__Series_1.png,2,w/o NbF₅;w NbF₅
x_time_day,10.1002_adfm.201900221,10.1002/adfm.201900221,x_time_day/10.1002_adfm.201900221,x_time_day/10.1002_adfm.201900221/10.1002_adfm.201900221.md,Fig5_D_stability_performance_curve_pce,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/validation_result.json,10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce,Fig5,D,Time (Days),Days,Normalized PCE,,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/Fig5_D_stability_performance_curve_pce.png,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/Fig5_D_stability_performance_curve_pce_replot.png,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted,2,2,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2.csv;x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.csv,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2.png;x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.png,3,PEAI;F-PEAI;MeO-PEAI
x_time_day,10.1002_adfm.202000778,10.1002/adfm.202000778,x_time_day/10.1002_adfm.202000778,x_time_day/10.1002_adfm.202000778/10.1002_adfm.202000778.md,Fig6_C_stability_performance_curve,x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve,x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/validation_result.json,10.1002_adfm.202000778__Fig6__C__stability_performance_curve,Fig6,C,Time,(days),Normalized PCE,,x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/Fig6_C_stability_performance_curve.png,x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/Fig6_C_stability_performance_curve_replot.png,x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/accepted,1,1,x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/accepted/10.1002_adfm.202000778__Fig6__C__stability_performance_curve__MAPbI₃__Series_1.csv,x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/accepted/10.1002_adfm.202000778__Fig6__C__stability_performance_curve__MAPbI₃__Series_1.png,2,MAPbI₃;MAPbI₃-PHAI
x_time_day,10.1002_adfm.202000778,10.1002/adfm.202000778,x_time_day/10.1002_adfm.202000778,x_time_day/10.1002_adfm.202000778/10.1002_adfm.202000778.md,Fig6_D_stability_performance_curve_pce,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/validation_result.json,10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce,Fig6,D,Time (days),days,Normalized PCE,,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/Fig6_D_stability_performance_curve_pce.png,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/Fig6_D_stability_performance_curve_pce_replot.png,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted,1,1,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.png,2,MAPbI₃-PHAI;MAPbI₃
x_time_day,10.1002_adfm.202001418,10.1002/adfm.202001418,x_time_day/10.1002_adfm.202001418,x_time_day/10.1002_adfm.202001418/10.1002_adfm.202001418.md,Fig6_A_stability_performance_curve_pce,x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce,x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/validation_result.json,10.1002_adfm.202001418__Fig6__A__stability_performance_curve_pce,Fig6,A,Time,/ day,Normalized PCE,,x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/Fig6_A_stability_performance_curve_pce.png,x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/Fig6_A_stability_performance_curve_pce_replot.png,x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/accepted,1,1,x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/accepted/10.1002_adfm.202001418__Fig6__A__stability_performance_curve_pce__T—ITO_PCgBM__Series_1.csv,x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/accepted/10.1002_adfm.202001418__Fig6__A__stability_performance_curve_pce__T—ITO_PCgBM__Series_1.png,2,T—ITO/PCgBM;ITO/PSD
x_time_day,10.1002_adfm.202001557,10.1002/adfm.202001557,x_time_day/10.1002_adfm.202001557,x_time_day/10.1002_adfm.202001557/10.1002_adfm.202001557.md,Fig4_B_pce,x_time_day/10.1002_adfm.202001557/Fig4_B_pce,x_time_day/10.1002_adfm.202001557/Fig4_B_pce/validation_result.json,10.1002_adfm.202001557__Fig4__B__pce,Fig4,B,Time (days),(days),Normalized PCE (%),(%),x_time_day/10.1002_adfm.202001557/Fig4_B_pce/Fig4_B_pce.png,x_time_day/10.1002_adfm.202001557/Fig4_B_pce/Fig4_B_pce_replot.png,x_time_day/10.1002_adfm.202001557/Fig4_B_pce/accepted,1,1,x_time_day/10.1002_adfm.202001557/Fig4_B_pce/accepted/10.1002_adfm.202001557__Fig4__B__pce__perovskite__Series_1.csv,x_time_day/10.1002_adfm.202001557/Fig4_B_pce/accepted/10.1002_adfm.202001557__Fig4__B__pce__perovskite__Series_1.png,2,perovskite;perovskite/N719
x_time_day,10.1002_adfm.202004209,10.1002/adfm.202004209,x_time_day/10.1002_adfm.202004209,x_time_day/10.1002_adfm.202004209/10.1002_adfm.202004209.md,Fig11_C_stability_performance_curve_pce,x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce,x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/validation_result.json,10.1002_adfm.202004209__Fig11__C__stability_performance_curve_pce,Fig11,C,Time,(d),PCE,(%),x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/Fig11_C_stability_performance_curve_pce.png,x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/Fig11_C_stability_performance_curve_pce_replot.png,x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/accepted,1,1,x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/accepted/10.1002_adfm.202004209__Fig11__C__stability_performance_curve_pce__SnO2__Series_2.csv,x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/accepted/10.1002_adfm.202004209__Fig11__C__stability_performance_curve_pce__SnO2__Series_2.png,2,mp-ZTO;SnO2
x_time_day,10.1002_adfm.202008052,10.1002/adfm.202008052,x_time_day/10.1002_adfm.202008052,x_time_day/10.1002_adfm.202008052/10.1002_adfm.202008052.md,Fig7_G_decay,x_time_day/10.1002_adfm.202008052/Fig7_G_decay,x_time_day/10.1002_adfm.202008052/Fig7_G_decay/validation_result.json,10.1002_adfm.202008052__Fig7__G__decay,Fig7,G,Time (days),days,Normalized PCE,,x_time_day/10.1002_adfm.202008052/Fig7_G_decay/Fig7_G_decay.png,x_time_day/10.1002_adfm.202008052/Fig7_G_decay/Fig7_G_decay_replot.png,x_time_day/10.1002_adfm.202008052/Fig7_G_decay/accepted,2,2,x_time_day/10.1002_adfm.202008052/Fig7_G_decay/accepted/10.1002_adfm.202008052__Fig7__G__decay__W_MoOx__Series_2.csv;x_time_day/10.1002_adfm.202008052/Fig7_G_decay/accepted/10.1002_adfm.202008052__Fig7__G__decay__W_o_MoOx__Series_1.csv,x_time_day/10.1002_adfm.202008052/Fig7_G_decay/accepted/10.1002_adfm.202008052__Fig7__G__decay__W_MoOx__Series_2.png;x_time_day/10.1002_adfm.202008052/Fig7_G_decay/accepted/10.1002_adfm.202008052__Fig7__G__decay__W_o_MoOx__Series_1.png,2,W/o MoOx;W/ MoOx
x_time_day,10.1002_adfm.202101568,10.1002/adfm.202101568,x_time_day/10.1002_adfm.202101568,x_time_day/10.1002_adfm.202101568/10.1002_adfm.202101568.md,Fig6_F_stability_performance_curve_pce,x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce,x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/validation_result.json,10.1002_adfm.202101568__Fig6__F__stability_performance_curve_pce,Fig6,F,Time,(days),PCE,(%),x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/Fig6_F_stability_performance_curve_pce.png,x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/Fig6_F_stability_performance_curve_pce_replot.png,x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/accepted,1,1,x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/accepted/10.1002_adfm.202101568__Fig6__F__stability_performance_curve_pce__Without_HOCP__Series_2.csv,x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/accepted/10.1002_adfm.202101568__Fig6__F__stability_performance_curve_pce__Without_HOCP__Series_2.png,2,WithHOCP;Without HOCP
x_time_day,10.1002_adfm.202106560,10.1002/adfm.202106560,x_time_day/10.1002_adfm.202106560,x_time_day/10.1002_adfm.202106560/10.1002_adfm.202106560.md,Fig4_A_stability_performance_curve_pce,x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce,x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/validation_result.json,10.1002_adfm.202106560__Fig4__A__stability_performance_curve_pce,Fig4,A,Time,(day),Normalized PCE,(a.u.),x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/Fig4_A_stability_performance_curve_pce.png,x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/Fig4_A_stability_performance_curve_pce_replot.png,x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/accepted,1,1,x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/accepted/10.1002_adfm.202106560__Fig4__A__stability_performance_curve_pce__FASnl-based_perovskite_with_HTL__Series_1.csv,x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/accepted/10.1002_adfm.202106560__Fig4__A__stability_performance_curve_pce__FASnl-based_perovskite_with_HTL__Series_1.png,2,FASnl-based perovskite with HTL;FASnl-based perovskite without HTL
x_time_day,10.1002_adfm.202111116,10.1002/adfm.202111116,x_time_day/10.1002_adfm.202111116,x_time_day/10.1002_adfm.202111116/10.1002_adfm.202111116.md,Fig5_A_stability_performance_curve,x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve,x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/validation_result.json,10.1002_adfm.202111116__Fig5__A__stability_performance_curve,Fig5,A,Time (day),(day),Normalized PCE (%),(%),x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/Fig5_A_stability_performance_curve.png,x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/Fig5_A_stability_performance_curve_replot.png,x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/accepted,1,1,x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/accepted/10.1002_adfm.202111116__Fig5__A__stability_performance_curve__optimized_device__Series_1.csv,x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/accepted/10.1002_adfm.202111116__Fig5__A__stability_performance_curve__optimized_device__Series_1.png,1,optimized device
x_time_day,10.1002_adfm.202204450,10.1002/adfm.202204450,x_time_day/10.1002_adfm.202204450,x_time_day/10.1002_adfm.202204450/10.1002_adfm.202204450.md,Fig1_E_stability_performance_curve_pce,x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce,x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/validation_result.json,10.1002_adfm.202204450__Fig1__E__stability_performance_curve_pce,Fig1,E,Time,(days),Normalized PCE,(a.u.),x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/Fig1_E_stability_performance_curve_pce.png,x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/Fig1_E_stability_performance_curve_pce_replot.png,x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/accepted,1,1,x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/accepted/10.1002_adfm.202204450__Fig1__E__stability_performance_curve_pce__Control__Series_2.csv,x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/accepted/10.1002_adfm.202204450__Fig1__E__stability_performance_curve_pce__Control__Series_2.png,3,PI;Control;PF
x_time_day,10.1002_adfm.202204450,10.1002/adfm.202204450,x_time_day/10.1002_adfm.202204450,x_time_day/10.1002_adfm.202204450/10.1002_adfm.202204450.md,Fig1_F_stability,x_time_day/10.1002_adfm.202204450/Fig1_F_stability,x_time_day/10.1002_adfm.202204450/Fig1_F_stability/validation_result.json,10.1002_adfm.202204450__Fig1__F__stability,Fig1,F,Time,(Days),Normalized PCE,(a.u.),x_time_day/10.1002_adfm.202204450/Fig1_F_stability/Fig1_F_stability.png,x_time_day/10.1002_adfm.202204450/Fig1_F_stability/Fig1_F_stability_replot.png,x_time_day/10.1002_adfm.202204450/Fig1_F_stability/accepted,1,1,x_time_day/10.1002_adfm.202204450/Fig1_F_stability/accepted/10.1002_adfm.202204450__Fig1__F__stability__Control__Series_1.csv,x_time_day/10.1002_adfm.202204450/Fig1_F_stability/accepted/10.1002_adfm.202204450__Fig1__F__stability__Control__Series_1.png,3,Control;PF;PI
x_time_day,10.1002_adma.201606806,10.1002/adma.201606806,x_time_day/10.1002_adma.201606806,x_time_day/10.1002_adma.201606806/10.1002_adma.201606806.md,Fig5_A_stability_performance_curve_pce,x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce,x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/validation_result.json,10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce,Fig5,A,Time,day,Normalized PCE,,x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/Fig5_A_stability_performance_curve_pce.png,x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/Fig5_A_stability_performance_curve_pce_replot.png,x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted,2,2,x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__Control__Series_1.csv;x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.csv,x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__Control__Series_1.png;x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.png,3,Control;PCBM;α-bis-PCBM
