curve_id,source_path,relative_path,source_sha256,figure,x_name,x_unit,y_name,y_unit,axis_status,hours_factor,n_points,invalid_points,duplicate_x_points,x_min,x_max,duration_h,y_min,y_max,relative_y_range,constant_y,primary_cluster,maxabs_cluster,zscore_cluster,dtw_0_cluster,dtw_0.25_cluster,dtw_1_cluster,msm_0.01_cluster,msm_0.1_cluster
C001,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,c9857e6ef73aa8659de23d5480ab977adf4a994553c931bd009c1d15e53a69ad,图片1,Thermal cycles,,Normalized PCE,,cycles,,64,0,0,-0.5993493257997429,197.2076219346634,,0.9053732294229524,1.0021347422264115,0.096555391931116,False,3,1,2,2,4,2,6,2
C002,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,f308c71c628bcf84f0b7888bc73253f9f8edaf091cb955e877c478dc28b5039e,图片1,Thermal cycles,,Normalized PCE,,cycles,,64,0,0,-0.2853700063386881,197.52160125412445,,0.3463067110029638,1.0057185019598731,0.6556623843271195,False,1,3,3,2,3,4,6,3
C003,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,52433e103bf4debc07df0a29da627795c7928509c502664d94aa4ab4ba1d1a0e,图片102,Time,(h),Normalized PCE,,time_verified,1.0,30,0,0,0.2808468239687869,213.12665721311737,212.8458103891486,0.1215456547989721,1.0036369299852417,0.8788947963475603,False,1,4,3,2,3,4,6,5
C004,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,cef5b444fdde7d18e1de6074e4b8a7c7597727b44f036e2f42c91716393cfacf,图片102,Time,(h),Normalized PCE,,time_verified,1.0,30,0,0,0.2808468239687869,213.12665721311737,212.8458103891486,0.9149350140447228,1.1021946143635954,0.1698970380353345,False,1,2,3,3,3,4,6,5
C005,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,868939c9fe3c80dffed0b6e4bbed3664fa18902f09074bc9ba915b861b7dc78e,图片103,Time,(h),Normalized PCE,,time_verified,1.0,63,0,0,-1.3105387035323872,1000.5625722547218,1001.8731109582542,0.5208347986198131,0.9972044422696348,0.4777050958232853,False,3,3,3,2,4,2,6,3
C006,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,e2cb88401758db4e89f2c2869672d0eebecec96e142b50f31750ff54e4c548f6,图片103,Time,(h),Normalized PCE,,time_verified,1.0,65,0,0,-2.8759654394046663,998.9971455188496,1001.8731109582544,0.9123714920306254,1.0037300538264815,0.0910190558184178,False,4,1,1,2,1,3,6,2
C007,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,1da87098770bace60a00bf1ed9f614384ba13e7fc4e091e70ffaeebd6fe1688a,图片105,Time,(h),Normalized PCE,,time_verified,1.0,27,0,0,-3.2457655094714823,503.2663791762418,506.5121446857133,0.2029016490991553,1.0087023048344443,0.7988488297025781,False,1,3,3,2,3,4,6,5
C008,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,f1e634a64ab60eeefe174ee6aa008663c9777cef99942dc363d7f84ee22e37f7,图片105,Time,(h),Normalized PCE,,time_verified,1.0,56,0,0,-5.193889142878078,1066.2741092307465,1071.4679983736246,0.8908951914228523,0.9945654512250532,0.1042367394468663,False,3,1,3,3,4,2,6,2
C009,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,a6e7815481ce7eb845b103a8578f6eec23e1d68c712154e08447a70b58d5aa93,图片107,Time,(h),PCE,(norm.),time_verified,1.0,33,0,0,14.493093149841345,1324.2144817280746,1309.7213885782332,0.5107532173249982,0.9990207635196668,0.4887461442487391,False,4,3,2,2,4,3,6,4
C010,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,d483100ede5c41847d4a461438ecc71b19f27e250725bced27c957e3060c8055,图片107,Time,(h),PCE,(norm.),time_verified,1.0,33,0,0,6.307334471227364,1316.0287230494607,1309.7213885782337,0.662154006842725,1.021730881947326,0.3519291444135273,False,4,3,2,2,1,3,1,4
C011,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,6fbe3c294b55adacefeb11fd7b196945301189b3f69b36e7c33afeb088199f5e,图片11,Time,(h),Normalized PCE,,time_verified,1.0,50,0,0,-0.8167830047531695,275.4154280601935,276.2322110649467,0.8482154979386229,1.001318547695473,0.1529014419129811,False,3,1,2,2,4,2,6,2
