n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,min_samples,cluster_selection_method,metric,dataset,normalization,coverage,representation,dimensions,candidate_id,bootstrap_ari,bootstrap_vi,bootstrap_valid_fraction
156,0,1.0,[],0.0,,,,,30,5.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__039,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__040,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__041,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__042,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__043,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__044,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__045,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__046,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__047,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__048,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__049,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__050,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__051,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__052,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__053,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__054,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__055,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__056,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__057,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__058,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__059,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__060,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__061,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__062,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__063,,,0.0
156,0,1.0,[],0.0,,,,,75,,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__064,,,0.0
156,0,1.0,[],0.0,,,,,75,,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__065,,,0.0
156,0,1.0,[],0.0,,,,,75,,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__066,,,0.0
156,0,1.0,[],0.0,,,,,75,,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__067,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__068,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__069,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__070,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__071,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__072,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__073,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__074,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__075,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__076,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__077,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__078,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__079,,,0.0
156,0,1.0,[],0.0,,,,,10,,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__000,,,0.0
156,0,1.0,[],0.0,,,,,10,,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__001,,,0.0
156,0,1.0,[],0.0,,,,,10,,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__002,,,0.0
156,0,1.0,[],0.0,,,,,10,,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__003,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__004,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__005,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__006,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__007,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__008,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__009,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__010,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__011,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__012,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__013,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__014,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__015,,,0.0
156,0,1.0,[],0.0,,,,,20,,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__016,,,0.0
156,0,1.0,[],0.0,,,,,20,,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__017,,,0.0
156,0,1.0,[],0.0,,,,,20,,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__018,,,0.0
156,0,1.0,[],0.0,,,,,20,,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__019,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__020,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__021,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__022,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__023,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__024,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__025,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__026,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__027,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__028,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__029,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__030,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__031,,,0.0
156,0,1.0,[],0.0,,,,,30,,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__032,,,0.0
156,0,1.0,[],0.0,,,,,30,,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__033,,,0.0
156,0,1.0,[],0.0,,,,,30,,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__034,,,0.0
156,0,1.0,[],0.0,,,,,30,,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__035,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__036,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__037,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__038,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__039,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__040,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__041,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__042,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__043,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__044,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__045,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__046,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__047,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__048,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__049,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__050,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__051,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__052,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__053,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__054,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__055,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__056,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__057,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__058,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__059,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__060,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__061,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__062,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__063,,,0.0
156,0,1.0,[],0.0,,,,,75,,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__064,,,0.0
156,0,1.0,[],0.0,,,,,75,,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__065,,,0.0
156,0,1.0,[],0.0,,,,,75,,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__066,,,0.0
156,0,1.0,[],0.0,,,,,75,,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__067,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__068,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__069,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__070,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__071,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__072,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__073,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__074,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__075,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,eom,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__076,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,eom,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__077,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,leaf,euclidean,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__078,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,leaf,manhattan,full_duration,initial,1.0,0.99,18,full_duration__initial__0.99__079,,,0.0
156,0,1.0,[],0.0,,,,,10,,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__000,,,0.0
156,0,1.0,[],0.0,,,,,10,,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__001,,,0.0
156,0,1.0,[],0.0,,,,,10,,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__002,,,0.0
156,0,1.0,[],0.0,,,,,10,,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__003,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__004,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__005,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__006,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__007,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__008,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__009,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__010,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__011,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__012,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__013,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__014,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__015,,,0.0
156,0,1.0,[],0.0,,,,,20,,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__016,,,0.0
156,0,1.0,[],0.0,,,,,20,,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__017,,,0.0
156,0,1.0,[],0.0,,,,,20,,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__018,,,0.0
156,0,1.0,[],0.0,,,,,20,,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__019,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__020,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__021,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__022,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__023,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__024,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__025,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__026,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__027,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__028,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__029,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__030,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__031,,,0.0
156,0,1.0,[],0.0,,,,,30,,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__032,,,0.0
156,0,1.0,[],0.0,,,,,30,,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__033,,,0.0
156,0,1.0,[],0.0,,,,,30,,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__034,,,0.0
156,0,1.0,[],0.0,,,,,30,,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__035,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__036,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__037,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__038,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__039,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__040,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__041,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__042,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__043,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__044,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__045,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__046,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__047,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__048,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__049,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__050,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__051,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__052,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__053,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__054,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__055,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__056,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__057,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__058,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__059,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__060,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__061,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__062,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__063,,,0.0
156,0,1.0,[],0.0,,,,,75,,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__064,,,0.0
156,0,1.0,[],0.0,,,,,75,,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__065,,,0.0
156,0,1.0,[],0.0,,,,,75,,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__066,,,0.0
156,0,1.0,[],0.0,,,,,75,,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__067,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,eom,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__068,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,eom,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__069,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,leaf,euclidean,full_duration,max,1.0,full,51,full_duration__max__full__070,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,leaf,manhattan,full_duration,max,1.0,full,51,full_duration__max__full__071,,,0.0
